Measure Mode: wall_time
Thread ID: 16046480
Fiber ID: 30270920
Total: 0.091710
Sort by: self_time

 %self      total      self      wait     child     calls  name
 26.34      0.090     0.024     0.000     0.066      199  *Kernel#require
  1.08      0.001     0.001     0.000     0.000     1652   Module#method_added
  0.82      0.001     0.001     0.000     0.000       14   Module#module_eval
  0.71      0.001     0.001     0.000     0.000      240   IO#set_encoding
  0.49      0.001     0.000     0.000     0.000       46   Module#attr_accessor
  0.45      0.001     0.000     0.000     0.000       90   Module#attr_reader
  0.26      0.001     0.000     0.000     0.001        2   Hash#each
  0.25      0.001     0.000     0.000     0.001      177   NewRelic::Agent::Configuration::EnvironmentSource#set_dotted_alias
  0.24      0.000     0.000     0.000     0.000       77   String#gsub
  0.23      0.000     0.000     0.000     0.000      223   Symbol#to_s
  0.21      0.000     0.000     0.000     0.000       77   String#to_sym
  0.19      0.092     0.000     0.000     0.092        1   Global#[No method]
  0.19      0.000     0.000     0.000     0.000      123   Class#inherited
  0.11      0.001     0.000     0.000     0.001      177   NewRelic::Agent::Configuration::EnvironmentSource#set_aliases
  0.11      0.000     0.000     0.000     0.000      144   BasicObject#singleton_method_added
  0.10      0.000     0.000     0.000     0.000        1   Module#instance_methods
  0.08      0.000     0.000     0.000     0.000      100   Regexp#match
  0.06      0.001     0.000     0.000     0.001       14   Forwardable#def_instance_delegator
  0.06      0.000     0.000     0.000     0.000      177   String#include?
  0.06      0.000     0.000     0.000     0.000        1   <Object::Object>#keys
  0.06      0.000     0.000     0.000     0.000       19   Module#extend_object
  0.05      0.000     0.000     0.000     0.000       22   Module#append_features
  0.05      0.000     0.000     0.000     0.000       19   Kernel#extend
  0.05      0.000     0.000     0.000     0.000       38   <Class::Proc>#new
  0.04      0.000     0.000     0.000     0.000       31   Kernel#freeze
  0.04      0.000     0.000     0.000     0.000       21   <Class::NewRelic::EnvironmentReport>#report_on
  0.04      0.000     0.000     0.000     0.000       22   Module#include
  0.04      0.000     0.000     0.000     0.000        1   Array#select
  0.03      0.000     0.000     0.000     0.000        2   IO#write
  0.03      0.001     0.000     0.000     0.001       13   Array#each
  0.03      0.000     0.000     0.000     0.000        1   <Class::Struct>#new
  0.03      0.000     0.000     0.000     0.000       25   Module#private
  0.03      0.000     0.000     0.000     0.000        1   Array#map
  0.03      0.000     0.000     0.000     0.000      100   String#match
